Security Code,Security Id,SECURITY_NAME,Status,Group,Face Value,ISIN No,Industry,Instrument
500250,LGBBROSLTD,L G BALAKRISHNAN & BROS LTD,Active,B ,10,INE337A01034,Auto Parts & Equipment,Equity
531103,LIBERAL,LIBERAL FINLEASE LTD,Delisted,P ,10,NA          ,MiscCommercial Services,Equity
530273,LIBERTYP,LIBERTY PHOSPHATE LTD,Delisted,B ,10,INE639D01011,Fertilizers,Equity
526596,LIBERTSHOE,LIBERTY SHOES LTD,Active,B ,10,INE557B01019,Footwear,Equity
511593,LIBORDFIN,LIBORD FINANCE LTD,Active,X ,10,INE212B01011,Finance (including NBFCs),Equity
531027,LIBORD,LIBORD SECURITIES LTD,Active,X ,10,INE267E01019,Other Financial Services,Equity
500253,LICHSGFIN,LIC HOUSING FINANCE LTD,Active,A ,2,INE115A01026,Housing Finance ,Equity
506113,LIFELINE,LIFELINE DRUGS & PHARMA LTD,Suspended,X ,1,INE776N01028,Distributors,Equity
539927,LIKHAMI,LIKHAMI CONSULTING LTD,Active,XT,10,INE920T01011,Consulting Services,Equity
507759,LIMECHM,LIME CHEMICALS LTD,Active,XT,10,INE891G01011,Commodity Chemicals,Equity
517463,LINAKS,LINAKS MICROELECTRONICS LTD,Active,XT,1,INE028C01027,Electronic Components,Equity
531241,LINCPENQ,LINC PEN & PLASTICS LTD,Active,B ,10,INE802B01019,Non-Durable Household Prod,Equity
531633,LINCOPH,LINCOLN PHARMACEUTICALS LTD,Active,B ,10,INE405C01035,Pharmaceuticals,Equity
523457,LINDEINDIA,LINDE INDIA LTD,Active,A ,10,INE473A01011,Industrial Gases,Equity
524103,LINEARIND,LINEAR INDUSTRIES LTD,Suspended,XT,10,INE808D01012,CommTrading  & Distribution,Equity
524748,LINKPH,LINK PHARMA CHEM LTD,Active,X ,10,INE302F01011,Commodity Chemicals,Equity
512349,LINKH,LINKHOUSE INDUSTRIES LTD,Suspended,XT,1,INE080C01028,Construction & Engineering,Equity
508982,LINKSONI,LINKSON INTERNATIONAL LTD,Suspended,Z ,5,INE996E01021,CommTrading  & Distribution,Equity
531510,LINTAS,LINTAS MERCANTILE LTD,Delisted,XD,10,INE702D01017,CommTrading  & Distribution,Equity
526604,LIPPISYS,LIPPI SYSTEMS LTD,Active,XT,10,INE845B01018,Industrial Machinery,Equity
531756,LIVERPO,LIVERPOOL FINANCE LTD,Delisted,X ,10,INE376D01010,Finance (including NBFCs),Equity
507912,LKPFIN,LKP FINANCE LTD,Active,X ,10,INE724A01017,Other Financial Services,Equity
540192,LKPSEC,LKP SECURITIES LTD,Active,X ,2,INE341H01023,Other Financial Services,Equity
531527,LLORF,LLOYD ROCKFIBRES LTD,Delisted,P ,10,INE640D01019,Furniture-Furnishing-Paints,Equity
507870,LLOYDFIN,LLOYDS FINANCE LTD,Delisted,XT,10,INE174A01015,Finance (including NBFCs),Equity
512455,LLOYDSME,LLOYDS METALS & ENERGY LTD,Active,X ,1,INE281B01032,Iron & Steel/IntermProducts,Equity
539992,LLOYDSTEEL,LLOYDS STEELS INDUSTRIES LTD,Active,B ,1,INE093R01011,Industrial Machinery,Equity
500255,LML,LML LTD,Delisted,X ,10,INE862A01015,2/3 Wheelers,Equity
